REGIONS/COUNTRIES,Year,Sales
NAFTA,2008,8230872.0
CANADA,2008,872720.0
MEXICO,2008,589045.0
UNITED STATES OF AMERICA,2008,6769107.0
CENTRAL & SOUTH AMERICA,2008,3513920.0
ARGENTINA,2008,452539.0
BAHAMAS,2008,2000.0
BELIZE,2008,200.0
BOLIVIA,2008,1500.0
BRAZIL,2008,2193277.0
CHILE,2008,181523.0
COLOMBIA,2008,180000.0
COSTA RICA,2008,15000.0
CUBA,2008,3000.0
DOMINICAN REPUBLIC,2008,20000.0
ECUADOR,2008,69556.0
EL SALVADOR,2008,10000.0
GUADELOUPE,2008,14295.0
GUATEMALA,2008,12800.0
GUYANA,2008,4357.0
HONDURAS,2008,8000.0
JAMAICA,2008,3000.0
MARTINIQUE,2008,13679.0
NICARAGUA,2008,6000.0
PANAMA,2008,30000.0
PARAGUAY,2008,12000.0
PERU,2008,55312.0
PUERTO RICO,2008,65000.0
TRINIDAD,2008,10000.0
URUGUAY,2008,15000.0
VENEZUELA,2008,135882.0
ASIA/OCEANIA/MIDDLE EAST,2008,18195449.0
AUSTRALIA,2008,596765.0
AZERBAIDJAN,2008,15000.0
BAHRAIN,2008,30000.0
BANGLADESH,2008,17000.0
BRUNEI,2008,15000.0
CAMBODGE,2008,1500.0
CHINA,2008,6755609.0
HONG-KONG,2008,35182.0
INDIA,2008,1545414.0
INDONESIA,2008,425267.0
IRAK,2008,20000.0
IRAN,2008,1000000.0
ISRAEL,2008,170000.0
JAPAN,2008,4184266.0
JORDAN,2008,9000.0
KAZAKSTAN,2008,39000.0
KIRGHIZISTAN,2008,4000.0
KUWAIT,2008,80000.0
LAOS,2008,2000.0
LEBANON,2008,33000.0
MALAYSIA,2008,497459.0
MONGOLIA,2008,3000.0
MYANMAR,2008,1200.0
NEPAL,2008,1500.0
NEW CALEDONIA,2008,7853.0
NEW ZEALAND,2008,73397.0
OMAN,2008,145000.0
PAKISTAN,2008,127863.0
PALESTINE,2008,18400.0
PHILIPPINES,2008,44313.0
QATAR,2008,60000.0
SAUDI ARABIA,2008,400000.0
SINGAPORE,2008,100979.0
SOUTH KOREA,2008,1017595.0
SRI LANKA,2008,3000.0
SYRIA,2008,42000.0
TADJIKISTAN,2008,6000.0
TAHITI,2008,5000.0
TAIWAN,2008,141161.0
THAILAND,2008,226805.0
TUKMENISTAN,2008,4500.0
UNITED ARAB EMIRATES,2008,191544.0
UZBEKISTAN,2008,43000.0
VIETNAM,2008,50877.0
YEMEN,2008,5000.0
AFRICA,2008,907243.0
ALGERIA,2008,111753.0
ANGOLA,2008,3500.0
BOTSWANA,2008,20037.0
BURKINA,2008,600.0
BURUNDI,2008,700.0
CAMEROON,2008,1400.0
CONGO,2008,500.0
EGYPT,2008,203729.0
GABON,2008,2500.0
GHANA,2008,3500.0
IVORY COAST,2008,2500.0
KENYA,2008,2000.0
LIBERIA,2008,300.0
LIBYA,2008,37000.0
MADAGASCAR,2008,1000.0
MALAWI,2008,1000.0
MAURITIUS,2008,4000.0
MOROCCO,2008,102095.0
NIGERIA,2008,7000.0
REUNION,2008,23267.0
SENEGAL,2008,3000.0
SOUTH AFRICA,2008,329262.0
SUDAN,2008,3000.0
TANZANIA,2008,2000.0
TUNISIA,2008,33000.0
UGANDA,2008,3000.0
ZAMBIA,2008,2600.0
ZIMBABWE,2008,3000.0
ALL COUNTRIES,2008,49669083.0
*only LV,2008,
EUROPE,2009,16608761.0
EU 28 countries + EFTA,2009,14533115.0
EU 15 countries + EFTA,2009,13668808.0
AUSTRIA,2009,319403.0
BELGIUM,2009,476194.0
DENMARK,2009,112454.0
FINLAND,2009,90574.0
FRANCE,2009,2302398.0
GERMANY,2009,3807175.0
GREECE,2009,219730.0
ICELAND,2009,2113.0
IRELAND,2009,57453.0
ITALY,2009,2159465.0
